Match ID,Map ID,Event,Team,Opponent,Mode,Map,Map Number,Player,Kills,Deaths,K/D,Plus/Minus,Map Result
1979,1,Launch Weekend,Chicago Huntsmen,Dallas Empire,Hardpoint,Azhir Cave,1,Arcitys,32,19,1.68,13,Win
1979,1,Launch Weekend,Chicago Huntsmen,Dallas Empire,Hardpoint,Azhir Cave,1,Formal,31,24,1.29,7,Win
1979,1,Launch Weekend,Chicago Huntsmen,Dallas Empire,Hardpoint,Azhir Cave,1,Gunless,32,28,1.14,4,Win
1979,1,Launch Weekend,Chicago Huntsmen,Dallas Empire,Hardpoint,Azhir Cave,1,Envoy,21,30,0.7,-9,Win
1979,1,Launch Weekend,Chicago Huntsmen,Dallas Empire,Hardpoint,Azhir Cave,1,Scump,30,35,0.86,-5,Win
1979,1,Launch Weekend,Dallas Empire,Chicago Huntsmen,Hardpoint,Azhir Cave,1,Crimsix,35,26,1.35,9,Loss
1979,1,Launch Weekend,Dallas Empire,Chicago Huntsmen,Hardpoint,Azhir Cave,1,Clayster,27,30,0.9,-3,Loss
1979,1,Launch Weekend,Dallas Empire,Chicago Huntsmen,Hardpoint,Azhir Cave,1,iLLey,23,30,0.77,-7,Loss
1979,1,Launch Weekend,Dallas Empire,Chicago Huntsmen,Hardpoint,Azhir Cave,1,Huke,29,33,0.88,-4,Loss
1979,1,Launch Weekend,Dallas Empire,Chicago Huntsmen,Hardpoint,Azhir Cave,1,Shotzzy,21,24,0.88,-3,Loss
1979,2,Launch Weekend,Chicago Huntsmen,Dallas Empire,Search and Destroy,Arklov Peak,2,Arcitys,2,6,0.33,-4,Loss
1979,2,Launch Weekend,Chicago Huntsmen,Dallas Empire,Search and Destroy,Arklov Peak,2,Formal,4,7,0.57,-3,Loss
1979,2,Launch Weekend,Chicago Huntsmen,Dallas Empire,Search and Destroy,Arklov Peak,2,Gunless,1,7,0.14,-6,Loss
1979,2,Launch Weekend,Chicago Huntsmen,Dallas Empire,Search and Destroy,Arklov Peak,2,Envoy,4,5,0.8,-1,Loss
1979,2,Launch Weekend,Chicago Huntsmen,Dallas Empire,Search and Destroy,Arklov Peak,2,Scump,7,5,1.4,2,Loss
1979,2,Launch Weekend,Dallas Empire,Chicago Huntsmen,Search and Destroy,Arklov Peak,2,Crimsix,7,3,2.33,4,Win
1979,2,Launch Weekend,Dallas Empire,Chicago Huntsmen,Search and Destroy,Arklov Peak,2,Clayster,5,3,1.67,2,Win
1979,2,Launch Weekend,Dallas Empire,Chicago Huntsmen,Search and Destroy,Arklov Peak,2,iLLey,4,5,0.8,-1,Win
1979,2,Launch Weekend,Dallas Empire,Chicago Huntsmen,Search and Destroy,Arklov Peak,2,Huke,9,5,1.8,4,Win
1979,2,Launch Weekend,Dallas Empire,Chicago Huntsmen,Search and Destroy,Arklov Peak,2,Shotzzy,5,2,2.5,3,Win
1979,3,Launch Weekend,Chicago Huntsmen,Dallas Empire,Domination,Hackney Yard,3,Arcitys,32,24,1.33,8,Win
1979,3,Launch Weekend,Chicago Huntsmen,Dallas Empire,Domination,Hackney Yard,3,Formal,36,19,1.89,17,Win
1979,3,Launch Weekend,Chicago Huntsmen,Dallas Empire,Domination,Hackney Yard,3,Gunless,38,18,2.11,20,Win
1979,3,Launch Weekend,Chicago Huntsmen,Dallas Empire,Domination,Hackney Yard,3,Envoy,28,25,1.12,3,Win
1979,3,Launch Weekend,Chicago Huntsmen,Dallas Empire,Domination,Hackney Yard,3,Scump,24,24,1,0,Win
1979,3,Launch Weekend,Dallas Empire,Chicago Huntsmen,Domination,Hackney Yard,3,Crimsix,22,33,0.67,-11,Loss
1979,3,Launch Weekend,Dallas Empire,Chicago Huntsmen,Domination,Hackney Yard,3,Clayster,24,32,0.75,-8,Loss
1979,3,Launch Weekend,Dallas Empire,Chicago Huntsmen,Domination,Hackney Yard,3,iLLey,25,31,0.81,-6,Loss
1979,3,Launch Weekend,Dallas Empire,Chicago Huntsmen,Domination,Hackney Yard,3,Huke,27,28,0.96,-1,Loss
1979,3,Launch Weekend,Dallas Empire,Chicago Huntsmen,Domination,Hackney Yard,3,Shotzzy,12,34,0.35,-22,Loss
1979,4,Launch Weekend,Chicago Huntsmen,Dallas Empire,Hardpoint,Gun Runner,4,Arcitys,40,23,1.74,17,Win
1979,4,Launch Weekend,Chicago Huntsmen,Dallas Empire,Hardpoint,Gun Runner,4,Formal,30,25,1.2,5,Win
1979,4,Launch Weekend,Chicago Huntsmen,Dallas Empire,Hardpoint,Gun Runner,4,Gunless,24,29,0.83,-5,Win
1979,4,Launch Weekend,Chicago Huntsmen,Dallas Empire,Hardpoint,Gun Runner,4,Envoy,25,31,0.81,-6,Win
1979,4,Launch Weekend,Chicago Huntsmen,Dallas Empire,Hardpoint,Gun Runner,4,Scump,35,28,1.25,7,Win
1979,4,Launch Weekend,Dallas Empire,Chicago Huntsmen,Hardpoint,Gun Runner,4,Crimsix,30,31,0.97,-1,Loss
1979,4,Launch Weekend,Dallas Empire,Chicago Huntsmen,Hardpoint,Gun Runner,4,Clayster,26,34,0.76,-8,Loss
1979,4,Launch Weekend,Dallas Empire,Chicago Huntsmen,Hardpoint,Gun Runner,4,iLLey,27,31,0.87,-4,Loss
1979,4,Launch Weekend,Dallas Empire,Chicago Huntsmen,Hardpoint,Gun Runner,4,Huke,27,28,0.96,-1,Loss
1979,4,Launch Weekend,Dallas Empire,Chicago Huntsmen,Hardpoint,Gun Runner,4,Shotzzy,29,29,1,0,Loss
1962,5,Launch Weekend,Seattle Surge,Florida Mutineers,Hardpoint,St. Petrograd,1,Octane,29,19,1.53,10,Win
1962,5,Launch Weekend,Seattle Surge,Florida Mutineers,Hardpoint,St. Petrograd,1,Karma,34,21,1.62,13,Win
1962,5,Launch Weekend,Seattle Surge,Florida Mutineers,Hardpoint,St. Petrograd,1,Slacked,18,22,0.82,-4,Win
1962,5,Launch Weekend,Seattle Surge,Florida Mutineers,Hardpoint,St. Petrograd,1,Apathy,19,25,0.76,-6,Win
1962,5,Launch Weekend,Seattle Surge,Florida Mutineers,Hardpoint,St. Petrograd,1,Enable,30,23,1.3,7,Win
1962,5,Launch Weekend,Florida Mutineers,Seattle Surge,Hardpoint,St. Petrograd,1,Maux,21,23,0.91,-2,Loss
1962,5,Launch Weekend,Florida Mutineers,Seattle Surge,Hardpoint,St. Petrograd,1,Skyz,23,24,0.96,-1,Loss
1962,5,Launch Weekend,Florida Mutineers,Seattle Surge,Hardpoint,St. Petrograd,1,Frosty,23,26,0.88,-3,Loss
1962,5,Launch Weekend,Florida Mutineers,Seattle Surge,Hardpoint,St. Petrograd,1,Havok,21,23,0.91,-2,Loss
1962,5,Launch Weekend,Florida Mutineers,Seattle Surge,Hardpoint,St. Petrograd,1,Prestinni,22,34,0.65,-12,Loss
1962,6,Launch Weekend,Seattle Surge,Florida Mutineers,Search and Destroy,Gun Runner,2,Octane,4,8,0.5,-4,Loss
1962,6,Launch Weekend,Seattle Surge,Florida Mutineers,Search and Destroy,Gun Runner,2,Karma,7,9,0.78,-2,Loss
1962,6,Launch Weekend,Seattle Surge,Florida Mutineers,Search and Destroy,Gun Runner,2,Slacked,6,8,0.75,-2,Loss
1962,6,Launch Weekend,Seattle Surge,Florida Mutineers,Search and Destroy,Gun Runner,2,Apathy,9,6,1.5,3,Loss
1962,6,Launch Weekend,Seattle Surge,Florida Mutineers,Search and Destroy,Gun Runner,2,Enable,6,6,1,0,Loss
1962,6,Launch Weekend,Florida Mutineers,Seattle Surge,Search and Destroy,Gun Runner,2,Maux,6,6,1,0,Win
